x: -7.875 , y: -8.625 , z: 0.375
x: -7.875 , y: -8.625 , z: 0.525
x: -7.725 , y: -8.924999999999999 , z: 0.075
x: -7.574999999999999 , y: -8.924999999999999 , z: 0.075
x: -7.725 , y: -8.775 , z: 0.075
x: -7.574999999999999 , y: -8.775 , z: 0.075
x: -7.425 , y: -8.924999999999999 , z: 0.075
x: -7.2749999999999995 , y: -8.924999999999999 , z: 0.075
x: -7.425 , y: -8.775 , z: 0.075
x: -7.2749999999999995 , y: -8.775 , z: 0.075
x: -7.425 , y: -8.924999999999999 , z: 0.22499999999999998
x: -7.425 , y: -8.775 , z: 0.22499999999999998
x: -7.725 , y: -8.625 , z: 0.075
x: -7.574999999999999 , y: -8.625 , z: 0.075
x: -7.725 , y: -8.475 , z: 0.075
x: -7.574999999999999 , y: -8.475 , z: 0.075
x: -7.725 , y: -8.625 , z: 0.22499999999999998
x: -7.574999999999999 , y: -8.625 , z: 0.22499999999999998
x: -7.425 , y: -8.625 , z: 0.075
x: -7.2749999999999995 , y: -8.625 , z: 0.075
x: -7.425 , y: -8.475 , z: 0.075
x: -7.2749999999999995 , y: -8.475 , z: 0.075
x: -7.425 , y: -8.625 , z: 0.22499999999999998
x: -7.425 , y: -8.924999999999999 , z: 0.375
x: -7.425 , y: -8.775 , z: 0.375
x: -7.425 , y: -8.924999999999999 , z: 0.525
x: -7.425 , y: -8.775 , z: 0.525
x: -7.725 , y: -8.625 , z: 0.375
x: -7.574999999999999 , y: -8.625 , z: 0.375
